_id,username,role,passwordHash,usernameLower,createdAt,updatedAt,__v
"""6991459564b58eeda22bdc65""",admin,admin,pbkdf2$sha256$310000$9uCHM41crC6nKjsruWClZQ==$RTnoFJye2AUus2i0+NslbcViL/Bgqa2CqOcr4fXo9Fg=,admin,"""2026-02-15T04:03:33.882Z""","""2026-02-15T04:03:33.882Z""",0
"""6991459664b58eeda22bdc68""",employee,user,pbkdf2$sha256$310000$exolWUdysULZBTYlW4hxHQ==$Mt5gxy607z68d946EGDlHP3EQyHJpXgvNdn7ajimK7k=,employee,"""2026-02-15T04:03:34.198Z""","""2026-02-25T07:36:32.170Z""",9
"""6991459664b58eeda22bdc6b""",client,client,pbkdf2$sha256$310000$6zLEweauKj9+2ZJnNuq5Rg==$y6oqfZiS2846rzKCx+y8uzojhZYOpdjdw690UsTtXvg=,client,"""2026-02-15T04:03:34.580Z""","""2026-02-25T07:36:32.444Z""",9
"""699145ac64b58eeda22bdc71""",testemp1,user,pbkdf2$sha256$310000$P3CUZhS+nQRe6jyh9k3edw==$RHLs1U4rFMNwCi7w0B6OxasdMV6cAbKj967kWdQi1Zo=,testemp1,"""2026-02-15T04:03:56.779Z""","""2026-02-15T04:03:56.779Z""",0
"""69914b6ffc4301b4a4546135""",asbsna,user,pbkdf2$sha256$310000$W3GS+uKGz6jXCnc0QFASnA==$gBqZC6j7nBymx6ZeOOWcsfQ1yN4BKWQmD85ynSqHi+o=,asbsna,"""2026-02-15T04:28:31.868Z""","""2026-02-15T04:48:15.289Z""",1
"""69915322fc4301b4a4546272""",client2_1771131682362,client,pbkdf2$sha256$310000$0Y359T6UclqDUaPem9ShRA==$9/7yTjtPefvIF2yEfnXKf+F435MsDyLxJ03V9+s6I18=,client2_1771131682362,"""2026-02-15T05:01:22.479Z""","""2026-02-15T05:08:02.951Z""",1
"""699154e3fc4301b4a45462e0""",client2_1771132130922,client,pbkdf2$sha256$310000$1DwqPDXBYC0gRsQI3SG13Q==$FTuDxB7LdjmJr8xVMrmwgqB1PSA6ZGVT7JlFbqLRMFQ=,client2_1771132130922,"""2026-02-15T05:08:51.045Z""","""2026-02-15T05:08:51.045Z""",0
"""699156d2fc4301b4a4546361""",client2_1771132626065,client,pbkdf2$sha256$310000$LoATSOteVF5wycQXQbGbsg==$7c0dDkpQFszqzxV0KXi7RXCJChoB4rTZQuhJsL3G57Y=,client2_1771132626065,"""2026-02-15T05:17:06.185Z""","""2026-02-15T05:17:06.185Z""",0
"""69917032fc4301b4a45463e4""",client2_1771139122257,client,pbkdf2$sha256$310000$hdepsy67fuh7+FiTLkBldA==$jpD8CUCtrHQ1quSipzHOlRuxbBg4VSaGXlgHiOZLEzU=,client2_1771139122257,"""2026-02-15T07:05:22.386Z""","""2026-02-15T07:05:22.386Z""",0
"""6991721cfc4301b4a4546474""",client2_1771139612819,client,pbkdf2$sha256$310000$c/kvXxMFtAoAVvACj0pD0A==$K7NIkOiEJ892yzGnb9ZhYBJJRU5SS4kEkzJrgcnOufc=,client2_1771139612819,"""2026-02-15T07:13:32.957Z""","""2026-02-15T07:13:32.957Z""",0
"""699ea56825f6be8f55cf63bf""",client2_1772004712344,client,pbkdf2$sha256$310000$eMaRPQqEsF6VhZaVyR4I5w==$U9zw4Hf+RWE9j8ft4fADD3QVltnUMiaY47jCDFK8vmk=,client2_1772004712344,"""2026-02-25T07:31:52.462Z""","""2026-02-25T07:31:52.462Z""",0
"""699ea67ff238af92de0ce89b""",client2_1772004991836,client,pbkdf2$sha256$310000$IZu9uo2pusUwmbSPiFNg8g==$AyYaIcj2Qsv0vqTDDH30/wyQJAqAdFqEfTnqiZP3FmM=,client2_1772004991836,"""2026-02-25T07:36:31.964Z""","""2026-02-25T10:28:44.881Z""",1
